,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,updated_on
2024-11-07,10.0,3.0,63.0,9.0,44,17,119,3,19,19,10,11,6,879,45.0,2484.0,2024-11-20
2024-11-08,1.0,1.0,46.0,6.0,44,17,119,3,19,19,10,11,3,879,115.0,2599.0,2024-11-20
2024-11-09,0.0,0.0,0.0,0.0,44,17,119,3,19,19,10,11,1,879,47.0,2646.0,2024-11-20
2024-11-10,0.0,0.0,5.0,2.0,44,17,119,3,19,19,10,11,0,879,19.0,2665.0,2024-11-20
2024-11-11,25.0,5.0,117.0,8.0,44,17,119,3,19,19,10,11,5,879,53.0,2718.0,2024-11-20
2024-11-12,22.0,2.0,53.0,10.0,44,17,119,3,19,19,10,11,0,879,42.0,2760.0,2024-11-20
2024-11-13,2.0,2.0,48.0,5.0,44,17,119,3,19,19,10,11,0,879,27.0,2787.0,2024-11-20
2024-11-14,0.0,0.0,52.0,4.0,44,17,119,3,19,19,10,11,0,879,28.0,2815.0,2024-11-20
2024-11-15,0.0,0.0,51.0,4.0,44,17,119,3,19,19,10,11,0,879,81.0,2896.0,2024-11-20
2024-11-16,0.0,0.0,14.0,2.0,44,17,119,3,19,19,10,11,0,879,25.0,2921.0,2024-11-20
2024-11-17,0.0,0.0,3.0,3.0,44,17,119,3,19,19,10,11,0,879,5.0,2926.0,2024-11-20
2024-11-18,0.0,0.0,147.0,8.0,44,17,119,3,19,19,10,11,0,879,48.0,2974.0,2024-11-20
2024-11-19,0.0,0.0,54.0,5.0,44,17,119,3,19,19,10,11,0,879,38.0,3012.0,2024-11-20
2024-11-20,4.0,4.0,38.0,2.0,44,17,119,3,19,19,10,11,0,879,0.0,3012.0,2024-11-20
