,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,updated_on
2025-08-19,1.0,1.0,69,10,1,15,8,0,41,74,12,4,0,91,107,10938,2025-09-01
2025-08-20,1.0,1.0,106,18,1,15,8,0,41,74,12,4,0,91,104,11042,2025-09-01
2025-08-21,2.0,1.0,97,19,1,15,8,0,41,74,12,4,0,91,67,11109,2025-09-01
2025-08-22,2.0,2.0,94,19,1,15,8,0,41,74,12,4,0,91,82,11191,2025-09-01
2025-08-23,2.0,2.0,34,9,1,15,8,0,41,74,12,4,0,91,1,11192,2025-09-01
2025-08-24,4.0,4.0,23,8,1,15,8,0,41,74,12,4,0,91,4,11196,2025-09-01
2025-08-25,5.0,5.0,64,9,1,15,8,0,41,74,12,4,1,91,34,11230,2025-09-01
2025-08-26,1.0,1.0,59,13,1,15,8,0,41,74,12,4,0,91,108,11338,2025-09-01
2025-08-27,1.0,1.0,52,16,1,15,8,0,41,74,12,4,0,91,94,11432,2025-09-01
2025-08-28,2.0,2.0,125,20,1,15,8,0,41,74,12,4,0,91,68,11500,2025-09-01
2025-08-29,0.0,0.0,50,15,1,15,8,0,41,74,12,4,0,91,217,11717,2025-09-01
2025-08-30,1.0,1.0,47,5,1,15,8,0,41,74,12,4,0,91,52,11769,2025-09-01
2025-08-31,0.0,0.0,54,8,1,15,8,0,41,74,12,4,0,91,4,11773,2025-09-01
2025-09-01,0.0,0.0,16,3,1,15,8,0,41,74,12,4,0,91,0,11773,2025-09-01
