,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-11-07,0.0,0.0,2.0,2.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-08,0.0,0.0,0.0,0.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-09,0.0,0.0,0.0,0.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-10,1.0,1.0,0.0,0.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-11,0.0,0.0,3.0,2.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-12,0.0,0.0,8.0,2.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-13,0.0,0.0,4.0,2.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-14,0.0,0.0,3.0,1.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-15,1.0,1.0,1.0,1.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-16,0.0,0.0,1.0,1.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-17,0.0,0.0,0.0,0.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-18,0.0,0.0,0.0,0.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-19,0.0,0.0,18.0,3.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
2024-11-20,0.0,0.0,0.0,0.0,0,1,9,1,4,10,6,2,0,21,2024-11-20
