,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-11-07,0.0,0.0,27,4,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-08,0.0,0.0,13,3,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-09,0.0,0.0,3,2,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-10,0.0,0.0,1,1,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-11,4.0,1.0,42,2,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-12,0.0,0.0,2,1,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-13,0.0,0.0,50,5,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-14,0.0,0.0,23,6,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-15,0.0,0.0,45,6,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-16,0.0,0.0,1,1,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-17,0.0,0.0,6,4,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-18,8.0,2.0,4,3,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-19,0.0,0.0,70,13,14,15,131,0,11,20,12,4,0,280,2024-11-20
2024-11-20,1.0,1.0,23,8,14,15,131,0,11,20,12,4,0,280,2024-11-20
